Date,LMP,HUB
1/1/2023 12:00:00 AM,21.62,ILLINOIS.HUB
1/1/2023 12:00:00 AM,22.82,INDIANA.HUB
1/1/2023 12:00:00 AM,21.49,TEXAS.HUB
1/1/2023 12:00:00 AM,22.16,LOUISIANA.HUB
1/1/2023 12:00:00 AM,22.93,MICHIGAN.HUB
1/1/2023 12:00:00 AM,21.6,MINN.HUB
1/1/2023 12:00:00 AM,21.85,MS.HUB
1/1/2023 12:00:00 AM,21.33,ARKANSAS.HUB
1/1/2023 1:00:00 AM,21.35,LOUISIANA.HUB
1/1/2023 1:00:00 AM,22.04,MICHIGAN.HUB
1/1/2023 1:00:00 AM,21.08,MINN.HUB
1/1/2023 1:00:00 AM,21.04,MS.HUB
1/1/2023 1:00:00 AM,20.5,ARKANSAS.HUB
1/1/2023 1:00:00 AM,20.66,TEXAS.HUB
1/1/2023 1:00:00 AM,20.77,ILLINOIS.HUB
1/1/2023 1:00:00 AM,22,INDIANA.HUB
1/1/2023 2:00:00 AM,20.89,TEXAS.HUB
1/1/2023 2:00:00 AM,21.58,LOUISIANA.HUB
1/1/2023 2:00:00 AM,22.43,MICHIGAN.HUB
1/1/2023 2:00:00 AM,21.76,MINN.HUB
1/1/2023 2:00:00 AM,21.3,MS.HUB
1/1/2023 2:00:00 AM,20.75,ARKANSAS.HUB
1/1/2023 2:00:00 AM,21.23,ILLINOIS.HUB
1/1/2023 2:00:00 AM,22.35,INDIANA.HUB
1/1/2023 3:00:00 AM,19.84,ARKANSAS.HUB
1/1/2023 3:00:00 AM,20.28,ILLINOIS.HUB
1/1/2023 3:00:00 AM,21.27,INDIANA.HUB
1/1/2023 3:00:00 AM,20.62,LOUISIANA.HUB
1/1/2023 3:00:00 AM,21.32,MICHIGAN.HUB
1/1/2023 3:00:00 AM,19.88,MINN.HUB
1/1/2023 3:00:00 AM,20.32,MS.HUB
1/1/2023 3:00:00 AM,20.01,TEXAS.HUB
1/1/2023 4:00:00 AM,18.57,ILLINOIS.HUB
1/1/2023 4:00:00 AM,19.47,INDIANA.HUB
